q_index,question,source,crepe_split,crepe_id
1,Why do they change the music in movies? Haven't the rights already been secured?,crepe,test,2019_b-06294
2,Why does cold wind have a higher pitch than warm wind?,crepe,test,2019_b-09233
3,Why are rainbows only formed by the sun and not other sources of light like street lamps or lights on buildings?,crepe,test,2019_b-06614
4,"How come some stuff like radiowaves and light particles that travel way faster than the speed of sound don't break the sound barrier. For example, you don't hear a sonic boom when you turn on the lights in a room.",crepe,test,2019_b-06798
5,"Why do our ears get clogged when traveling by plane or on mountainside in a vehicle, but not when we go up big heights by elevator?",crepe,test,2019_b-10222
6,"How does aerobic exercise help a person maintain a healthy heart, as opposed to it deteriorating from high usage?",crepe,test,2019_b-00743
7,How can a body part with different DNA be accepted into a new body during a transplant without being rejected by that new host body?,crepe,test,2019_b-05623
8,How do jet engines keep planes in the air?,crepe,test,2019_b-09340
9,"Why can we land on top of the moon, but not a planet?",crepe,test,2019_b-07854
10,How is it possible that we don't know how the Egyptians built the pyramids?,crepe,test,2019_b-02595
11,why does the sun evaporate water even though water evaporates at a 100°C?,crepe,test,2019_b-10452
12,"If heat rises, why is it not warmer the higher in the sky you get?",crepe,test,2019_b-07674
13,"If the body needs glucose to turn into energy, why does it matter what food we eat if it all turns into the same stuff in the end?",crepe,test,2019_b-10268
14,"Why is there a risk of rejection of donated organs, but not of donated blood?",crepe,test,2019_b-11499
15,Why has it been hard to find a cure for the common cold?,crepe,test,2019_b-09328
16,"Why are certain liquids, like gasoline, colder than other liquids even when they're kept in the same environment?",crepe,test,2019_b-08421
17,Why are C# and Db not the same? (Or any other set of #/b.) Is there a difference in Hertz? How big?,crepe,test,2019_b-07368
18,Why can bald people still grow beards?,crepe,test,2019_b-11494
19,Why is pi considered infinite but the diameter will fit around the circumference at some point,crepe,test,2019_b-02538
20,Why are different objects in the same room not the same temperature? Shouldn't all of them be room temperature?,crepe,test,2019_b-08877
21,Why do corrosive substances get stored in glass containers?,crepe,test,2019_b-09054
22,Why don’t structure fires create a chain reaction of gas line explosions the lead back all the way back to the source?,crepe,test,2019_b-03793
23,When glaciers melt during the warmer months how much gets frozen back during the cooler months?,crepe,test,2019_b-03023
24,Why does your breath change temperature depending on how you shape your mouth while exhaling?,crepe,test,2019_b-11391
25,Why do you still blink regularly when your eyes are closed already?,crepe,test,2019_b-05872
26,Why does tinnitus cause a ringing sound?,crepe,test,2019_b-08595
